movies,url_page,synopsis,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection,tomato_rate,audience_rate,actors
No Time To Die,https://www.rottentomatoes.com/m/no_time_to_die_2021,"In No Time To Die, Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",PG-13 (Sequences of Violence & Action|Brief Strong Language|Some Disturbing Images|Some Suggestive Material),"Action, Adventure, Mystery & thriller",English,Cary Joji Fukunaga,"Michael G. Wilson, Barbara Broccoli","Neal Purvis, Robert Wade, Cary Joji Fukunaga, Phoebe Waller-Bridge, Scott Z. Burns","Oct 8, 2021 wide","Nov 9, 2021",$143.0M,2h 43m,Metro-Goldwyn-Mayer,"Dolby Digital, Dolby Atmos",Scope (2.35:1),James Bond 007,88,84,"Daniel Craig, Rami Malek, Léa Seydoux, Lashana Lynch, Ben Whishaw, Naomie Harris, Jeffrey Wright, Christoph Waltz, Ralph Fiennes, Rory Kinnear, David Dencik, Ana de Armas, Billy Magnussen, Dali Benssalah, Cary Joji Fukunaga, Neal Purvis, Robert Wade, Cary Joji Fukunaga, Phoebe Waller-Bridge, Scott Z. Burns, Michael G. Wilson, Barbara Broccoli, Chris Brigham, Linus Sandgren, Tom Cross, Elliot Graham, Hans Zimmer, Mark Tildesley, Suttirat Anne Larlarb, Debbie McWilliams"
Dune,https://www.rottentomatoes.com/m/dune_2021,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence, only those who can conquer their own fear will survive.",PG-13 (Some Disturbing Images|Sequences of Strong Violence|Suggestive Material),"Sci-fi, Adventure",English,Denis Villeneuve,"Denis Villeneuve, Mary Parent, Cale Boyter, Joseph Caracciolo Jr.","Jon Spaihts, Denis Villeneuve, Eric Roth","Oct 22, 2021 wide","Oct 22, 2021",$84.1M,2h 35m,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital",Scope (2.35:1),,90,83,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Stellan Skarsgård, Jason Momoa, Zendaya, Charlotte Rampling, Dave Bautista, Javier Bardem, Sharon Duncan-Brewster, Stephen Henderson, Chen Chang, David Dastmalchian, Denis Villeneuve, Jon Spaihts, Denis Villeneuve, Eric Roth, Denis Villeneuve, Mary Parent, Cale Boyter, Joseph Caracciolo Jr., Tanya Lapointe, Joshua Grode, Herb Gains, Jon Spaihts, Thomas Tull, Brian Herbert, Byron Merritt, Kim Herbert, Greig Fraser, Joe Walker, Hans Zimmer, Patrice Vermette"
The French Dispatch,https://www.rottentomatoes.com/m/the_french_dispatch,"A love letter to journalists set in an outpost of an American newspaper in a fictional 20th-century French city that brings to life a collection of stories published in ""The French Dispatch.""",R (Language|Graphic Nudity|Some Sexual References),"Comedy, Drama",English,Wes Anderson,"Wes Anderson, Steven Rales, Jeremy Dawson","Wes Anderson, Roman Coppola, Hugo Guinness, Jason Schwartzman","Oct 29, 2021 wide",,$8.5M,1h 47m,Searchlight Pictures,Dolby Digital,,,77,75,"Benicio Del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux, Frances McDormand, Timothée Chalamet, Lyna Khoudri, Jeffrey Wright, Mathieu Amalric, Steve Park, Bill Murray, Owen Wilson, Christoph Waltz, Ed Norton, Jason Schwartzman, Anjelica Huston, Wes Anderson, Wes Anderson, Roman Coppola, Hugo Guinness, Jason Schwartzman, Wes Anderson, Steven Rales, Jeremy Dawson, Roman Coppola, Henning Molfenter, Christoph Fisser, Charlie Woebcken, Robert Yeoman, Andrew Weisblum, Alexandre Desplat, Adam Stockhausen, Milena Canonero, Douglas Aibel"
Eternals,https://www.rottentomatoes.com/m/eternals,"Marvel Studios' Eternals features an exciting new team of Super Heroes in the Marvel Cinematic Universe, ancient aliens who have been living on Earth in secret for thousands of years. Following the events of Avengers: Endgame, an unexpected tragedy forces them out of the shadows to reunite against mankind's most ancient enemy, the Deviants.",PG-13 (Fantasy Violence and Action|Brief Sexuality|Some Language),"Fantasy, Adventure, Action",English,Chloé Zhao,"Kevin Feige, Nate Moore","Chloé Zhao, Ryan Firpo, Kaz Firpo","Nov 5, 2021 wide",,$71.3M,2h 37m,Walt Disney,"Dolby Atmos, Dolby Digital",Scope (2.35:1),Marvel Cinematic Universe,80,47,"Angelina Jolie, Salma Hayek, Kit Harington, Gemma Chan, Richard Madden, Kumail Nanjiani, Lia McHugh, Brian Tyree Henry, Lauren Ridloff, Barry Keoghan, Ma Dong-seok, Chloé Zhao, Chloé Zhao, Ryan Firpo, Kaz Firpo, Kevin Feige, Nate Moore, Nate Moore, Ben Davis, Dylan Tichenor, Craig Wood, Ramin Djawadi, Eve Stewart, Matthew Gray, Pancho Chamorro, Sammy Sheldon, Sarah Halley Finn"
Last Night in Soho,https://www.rottentomatoes.com/m/last_night_in_soho,"In acclaimed director Edgar Wright's psychological thriller, Eloise, an aspiring fashion designer, is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer, Sandie. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something far darker.",R (Brief Drug Material|Bloody Violence|Brief Graphic Nudity|Language|Sexual Content),"Drama, Mystery & thriller",English (United Kingdom),Edgar Wright,"Nira Park, Tim Bevan, Eric Fellner, Laura Richardson, Edgar Wright","Edgar Wright, Krysty Wilson-Cairns","Oct 29, 2021 wide",,$7.6M,1h 57m,Focus Features,Dolby Atmos,Scope (2.35:1),,90,75,"Anya Taylor-Joy, Thomasin McKenzie, Matt Smith, Terence Stamp, Diana Rigg, Rita Tushingham, Michael Ajao, Synnove Karlsen, James Phelps, Andrew Bicknell, Joakim Skarli, Edgar Wright, Edgar Wright, Krysty Wilson-Cairns, Nira Park, Tim Bevan, Eric Fellner, Laura Richardson, Edgar Wright, James Biddle, Ollie Madden, Chung Chung-hoon, Paul Machliss, Steven Price, Marcus Rowland, Victoria Allwood, Judy Farr, Odile Dicks-Mireaux"
Antlers,https://www.rottentomatoes.com/m/antlers,,,,,,,,,,,,,,,,,,
Red Notice,https://www.rottentomatoes.com/m/red_notice,,,,,,,,,,,,,,,,,,
One Shot,https://www.rottentomatoes.com/m/one_shot_2021,,,,,,,,,,,,,,,,,,
Ron's Gone Wrong,https://www.rottentomatoes.com/m/rons_gone_wrong,,,,,,,,,,,,,,,,,,
The Estate,https://www.rottentomatoes.com/m/the_estate_2021,,,,,,,,,,,,,,,,,,
